group_name,group_value,trades,wins,losses,flats,win_rate_pct,gross_pnl,avg_pnl,avg_win,avg_loss
overall,all,80,38,42,0,47.5,-432.7131,-5.4089,3.7544,-13.6996
mode,core_one,17,9,8,0,52.94,5.414,0.3185,5.6056,-5.6295
mode,core_two,11,4,7,0,36.36,-132.7399,-12.0673,1.3163,-19.715
mode,fourth,14,5,9,0,35.71,-98.5356,-7.0383,3.273,-12.7667
mode,primary,19,10,9,0,52.63,-10.1012,-0.5316,3.2139,-4.6933
mode,secondary,10,5,5,0,50.0,-76.155,-7.6155,3.388,-18.619
mode,third,9,5,4,0,55.56,-120.5954,-13.3995,4.3019,-35.5262
symbol,AAPL,5,2,3,0,40.0,33.1452,6.629,18.2726,-1.1333
symbol,ACHR,5,3,2,0,60.0,0.545,0.109,2.5867,-3.6075
symbol,AI,2,0,2,0,0.0,-35.505,-17.7525,0.0,-17.7525
symbol,AMD,2,1,1,0,50.0,-31.6012,-15.8006,1.97,-33.5712
symbol,AMZN,1,0,1,0,0.0,-3.2,-3.2,0.0,-3.2
symbol,AVGO,5,3,2,0,60.0,-21.51,-4.302,1.4217,-12.8875
symbol,BBAI,2,0,2,0,0.0,-77.445,-38.7225,0.0,-38.7225
symbol,BITF,1,1,0,0,100.0,6.475,6.475,6.475,0.0
symbol,CLOV,1,1,0,0,100.0,1.405,1.405,1.405,0.0
symbol,GOOGL,2,0,2,0,0.0,-18.4899,-9.2449,0.0,-9.2449
symbol,GRAB,1,1,0,0,100.0,4.9,4.9,4.9,0.0
symbol,HIMS,3,1,2,0,33.33,-2.86,-0.9533,4.89,-3.875
symbol,IONQ,5,2,3,0,40.0,-8.2006,-1.6401,3.495,-5.0635
symbol,JOBY,4,2,2,0,50.0,-1.835,-0.4587,3.81,-4.7275
symbol,LCID,1,0,1,0,0.0,-48.975,-48.975,0.0,-48.975
symbol,MSFT,2,1,1,0,50.0,1.075,0.5375,1.24,-0.165
symbol,MU,2,0,2,0,0.0,-90.54,-45.27,0.0,-45.27
symbol,NFLX,1,1,0,0,100.0,1.0,1.0,1.0,0.0
symbol,NIO,4,2,2,0,50.0,-5.025,-1.2563,2.775,-5.2875
symbol,NU,2,0,2,0,0.0,-52.83,-26.415,0.0,-26.415
symbol,NVDA,4,2,2,0,50.0,-4.365,-1.0913,1.1825,-3.365
symbol,OPEN,1,1,0,0,100.0,4.28,4.28,4.28,0.0
symbol,PLTR,2,1,1,0,50.0,0.96,0.48,2.13,-1.17
symbol,QBTS,5,3,2,0,60.0,-2.0,-0.4,3.125,-5.6875
symbol,QS,2,0,2,0,0.0,-36.905,-18.4525,0.0,-18.4525
symbol,RIVN,3,2,1,0,66.67,-0.0,-0.0,2.145,-4.29
symbol,RKLB,4,3,1,0,75.0,4.5896,1.1474,4.5432,-9.04
symbol,SNAP,1,0,1,0,0.0,-4.41,-4.41,0.0,-4.41
symbol,SOFI,4,3,1,0,75.0,4.0288,1.0072,3.2629,-5.76
symbol,TAL,1,0,1,0,0.0,-55.62,-55.62,0.0,-55.62
symbol,TSLA,2,2,0,0,100.0,6.2,3.1,3.1,0.0
side,UNKNOWN,80,38,42,0,47.5,-432.7131,-5.4089,3.7544,-13.6996
scan_source,SCHEDULED,12,1,11,0,8.33,-427.6809,-35.6401,33.2002,-41.8983
scan_source,UNKNOWN,68,37,31,0,54.41,-5.0322,-0.074,2.9586,-3.6936
market_phase,MIDDAY,1,1,0,0,100.0,33.2002,33.2002,33.2002,0.0
market_phase,MORNING,11,0,11,0,0.0,-460.8811,-41.8983,0.0,-41.8983
market_phase,UNKNOWN,68,37,31,0,54.41,-5.0322,-0.074,2.9586,-3.6936
core_group,core,28,13,15,0,46.43,-127.3259,-4.5474,4.2858,-12.2027
core_group,non_core,52,25,27,0,48.08,-305.3872,-5.8728,3.4781,-14.5311
